state,name,birth_date,start_date,end_date,mandatory_retirement,ticket_party,appointer_name,appointer_party,chief_justice,chief_term,law_school,Unnamed: 0,JID,gender,party,race,professional experience,election type,term start,term end,next election date,match_quality
Texas,J. Brett Busby,"April 12, 1973","February 21, 2019",2026,2048,Republican,Greg Abbott,R,False,,Columbia,25.0,b3cf085e-f8f9-44e5-8567-c62e410aa14b,male,republican,white,"corporate, plaintiff-side civil private practice, misc. private practice, judicial","elected, appointed, partisan","march 20, 2019","december 31, 2026","november 3, 2026",Medium
Texas,Jane Bland,"June 1, 1965","September 4, 2019",2030,2040,Republican,Greg Abbott,R,False,,Texas,136.0,c39fd900-48bb-4b9d-916d-f645128a685d,female,republican,white,"corporate, misc. private practice, judicial","elected, appointed, partisan","august 26, 2019","december 31, 2024","november 5, 2024",High
Texas,Rebeca Huddle,"July 7, 1973","October 30, 2020",2028,2048,Republican,Greg Abbott,R,False,,Texas,266.0,a624aa3a-6478-40d0-91d8-a9f7def89750,female,republican,latino,"corporate, misc. private practice, judicial","appointed, elected, partisan","october 30, 2020","december 31, 2028","november 7, 2028",High
Texas,Evan Young,"September 14, 1976","November 10, 2021",2028,2052,Republican,Greg Abbott,R,False,,Yale,103.0,0c73b0ff-ae19-402a-97d1-452401c6b19f,male,republican,white,"defend criminal legal system, corporate, government civil (non civil rights), misc. private practice","appointed, elected, partisan","november 1, 2021","december 31, 2028","november 7, 2028",High
Texas,James P. Sullivan,"May 4, 1981","January 7, 2025",2026,2058,Republican,Greg Abbott,R,False,,Harvard,133.0,92233020-9b2f-4d07-8248-c8a58dd53bd6,male,republican,white,"prosecutor, government civil (non civil rights), misc. private practice, judicial, law professor/academia, legislative experience, other exec branch experience","elected, partisan","january 7, 2025",2026,"november 3, 2026",High
Texas,Kyle D. Hawkins,"May 6, 1980","October 24, 2025",2026,2056,Republican,Greg Abbott,R,False,,Minnesota,196.0,1ad9b2ed-12be-49cd-acff-ea2f720361e6,male,republican,white,"corporate, government civil (non civil rights)","elected, partisan","october 24, 2024",2026,"november 3, 2026",High
Texas,David J. Schenk Presiding Judge,"September 6, 1967","January 1, 2025",2030,2042,Republican,,,False,,Baylor,,,,,,,,,,,
Texas,Bert Richardson,1956,"January 1, 2015",2026,2032,Republican,,,False,,St. Mary's,22.0,b5da8734-3cfd-4b1c-89bd-e3f5a2bcdcbb,male,republican,white,"prosecutor, judicial","elected, partisan","january 1, 2015","december 31, 2026","november 3, 2026",High
Texas,Kevin Yeary,"September 8, 1966","January 1, 2015",2026,2042,Republican,,,False,,St. Mary's,191.0,bc828d5b-a205-4b42-8100-ba8106e13cbf,male,republican,white,"prosecutor, misc. private practice","elected, partisan","january 1, 2015","december 31, 2026","november 3, 2026",Medium
Texas,David Newell,"June 9, 1971","January 1, 2015",2026,2048,Republican,,,False,,Texas,79.0,effbf1d2-6d44-489a-bc9b-2f0b64ea1791,male,republican,white,prosecutor,"elected, partisan","january 1, 2015","december 31, 2026","november 3, 2026",High
Texas,David Newell,"June 9, 1971","January 1, 2015",2026,2048,Republican,,,False,,Texas,80.0,32ddb72c-d843-4d4b-ac59-697e895a268a,male,republican,white,"prosecutor, corporate, government civil (non civil rights), misc. private practice, judicial","elected, partisan","january 1, 2025","january 1, 2031",,Medium
Texas,Mary Lou Keel,"January 5, 1961","January 1, 2017",2028,2038,Republican,,,False,,Houston,220.0,2b1a2f29-ed48-444a-a804-3a8c6af51c76,female,republican,white,prosecutor,"elected, partisan","january 1, 2017","december 31, 2028","november 7, 2028",High
Texas,Scott Walker,"July 10, 1953","January 1, 2017",2028,2028,Republican,,,False,,Baylor,299.0,45c294de-08f4-4166-90c5-1488d8735f59,male,republican,white,plaintiff-side civil private practice,"elected, partisan","january 1, 2017","december 31, 2028","november 7, 2028",High
Texas,Jesse McClure,1972,"January 1, 2021",2028,2050,Republican,Greg Abbott,R,False,,Texas,148.0,abd9cb62-af94-4274-8174-6f957bbff477,male,republican,black,"prosecutor, corporate, government civil (non civil rights), misc. private practice, judicial, other exec branch experience","appointed, elected, partisan","january 1, 2021","december 31, 2028","november 7, 2028",High
Texas,Lee Finley,"July 19, 1970","January 1, 2025",2030,2046,Republican,,,False,,Texas,200.0,e1ba6542-3c3b-4420-96df-f19a7b23d52e,male,republican,white,misc. private practice,"elected, partisan","january 1, 2025","january 1, 2031",,High
Texas,Gina G. Parker,"November 30, 1961","January 1, 2025",2030,2040,Republican,,,False,,Baylor,114.0,56527aaa-5d06-4d9e-8dfb-881b631d9409,female,republican,white,"prosecutor, misc. private practice","elected, partisan","january 1, 2025",january 2031,,High
Vermont,Paul Reiber,"June 20, 1947",October 2003,2029,,,Jim Douglas,R,True,,Suffolk,257.0,c1acb792-6125-4ba8-8b4d-1a0626184552,male,republican,white,misc. private practice,"appointed, leg retention","december 17, 2004","march 31, 2023",vt general assembly votes to retain at end of term,High
Vermont,Harold Eaton Jr.,"August 25, 1955","October 27, 2014",2029,,,Peter Shumlin,D,False,,Vermont,124.0,af7c649c-0d60-4069-af9b-2eb90b8bac45,male,unsure,white,"prosecutor, corporate, plaintiff-side civil private practice, misc. private practice, judicial","appointed, leg retention","october 27, 2014","march 31, 2023",vt general assembly votes to retain at end of term,High
Vermont,Nancy Waples,"October 7, 1960","April 15, 2022",2029,,,Phil Scott,R,False,,St. John's,241.0,e760da63-0100-4f40-9a5a-cacf3abe4223,female,unsure,asian american,"prosecutor, public defender/other indigent defense, judicial","appointed, leg retention","march 25, 2022",unsure,unsure,High
Vermont,Christina Nolan,"September 26, 1979","February 3, 2026",2029,,,Phil Scott,R,False,,Boston College,48.0,f39ebcb4-a753-44c6-bfc8-7871b0a4dcbf,female,republican,white,prosecutor,"appointed, leg retention","february 3, 2026",2029,,High
Vermont,Michael P. Drescher,1965,"February 4, 2026",2029,,,Phil Scott,R,False,,Northwestern,237.0,5f3663e4-b264-4c6d-98ee-19a8e8f7f4ee,male,unsure,white,"prosecutor, corporate, government civil (non civil rights), misc. private practice","appointed, leg retention","february 3, 2026",2029,,High
